Plant,FatherPlant,Filled ,Total,Percent,Year,Note
39,22,37,54,0.685185185,2019,
44,17,0,54,0,2019,
44,45,25,49,0.510204082,2018,
45,17,25,38,0.657894737,2019,
45,18,36,38,0.947368421,2018,
45,44,2,37,0.054054054,2018,
45,47,16,37,0.432432432,2018,
47,1,18,35,0.514285714,2019,
47,13,22,81,0.271604938,2018,C
47,14,37,52,0.711538462,2019,
47,45,21,40,0.525,2018,
47,48,12,49,0.244897959,2018,
48,13,41,50,0.82,2018,
48,14,0,40,0,2018,
48,33,0,36,0,2019,
48,47,0,51,0,2018,
51,10,0,37,0,2019,
51,52,32,49,0.653061224,2018,
52,50,0,38,0,2018,
52,51,8,44,0.181818182,2018,
52,53,37,44,0.840909091,2019,
53,52,5,80,0.0625,2018,C
54,23,0,33,0,2019,
54,62,1,55,0.018181818,2019,
54,65,53,57,0.929824561,2018,
54,67,1,52,0.019230769,2018,
56,5,31,50,0.62,2018,
56,6,0,37,0,2019,
56,7,21,44,0.477272727,2018,
58,1,14,33,0.424242424,2018,
58,2,0,46,0,2018,
58,3,13,95,0.136842105,2019,C
62,54,0,42,0,2019,
64,114,41,51,0.803921569,2019,
65,54,22,24,0.916666667,2018,
65,67,23,25,0.92,2018,
67,54,0,40,0,2018,
67,65,36,41,0.87804878,2018,
67,109,0,40,0,2018,
72,73,26,39,0.666666667,2018,
72,109,20,31,0.64516129,2018,
72,110,19,33,0.575757576,2018,
72,115,23,39,0.58974359,2018,
73,72,6,42,0.142857143,2018,
73,109,0,38,0,2018,
73,110,2,48,0.041666667,2018,
76,103,31,35,0.885714286,2018,
76,104,21,38,0.552631579,2018,
77,103,29,32,0.90625,2019,
78,79,31,37,0.837837838,2019,
78,104,2,31,0.064516129,2019,
79,78,28,48,0.583333333,2018,
79,104,0,38,0,2018,
80,102,28,43,0.651162791,2018,
86,35,0,41,0,2018,
86,36,0,50,0,2018,
86,51,1,52,0.019230769,2018,
95,12,1,40,0.025,2019,
95,97,0,34,0,2018,
95,146,0,36,0,2019,
97,95,14,35,0.4,2018,
97,146,1,33,0.03030303,2018,
97,147,1,30,0.033333333,2018,
101,39,36,37,0.972972973,2019,
101,102,28,34,0.823529412,2018,
102,80,2,44,0.045454545,2019,
102,101,0,43,0,2018,
103,76,1,53,0.018867925,2019,
103,77,46,51,0.901960784,2018,
103,104,43,52,0.826923077,2019,
103,146,1,50,0.02,2018,
104,76,33,36,0.916666667,2019,
104,78,0,47,0,2018,
104,79,20,30,0.666666667,2019,
104,103,0,30,0,2018,
104,112,34,40,0.85,2019,
109,67,0,37,0,2018,
109,72,19,43,0.441860465,2018,
109,73,0,43,0,2018,
109,110,0,41,0,2019,
109,146,0,44,0,2019,
110,1,2,42,0.047619048,2019,
110,72,0,36,0,2018,
110,73,2,38,0.052631579,2019,
110,109,0,37,0,2018,
112,104,1,31,0.032258065,2018,
112,114,2,48,0.041666667,2018,
112,115,0,27,0,2018,
113,114,36,38,0.947368421,2018,
113,115,37,82,0.45122,2018,C
114,10,31,36,0.861111111,2019,
114,64,35,40,0.875,2019,
114,112,25,35,0.714285714,2019,
114,113,34,38,0.894736842,2018,
114,115,1,31,0.032258065,2018,
115,72,28,44,0.636363636,2018,
115,112,21,40,0.525,2019,
115,113,36,86,0.418604651,2018,C
115,114,3,42,0.071428571,2018,
124,190,0,38,0,2018,
124,190,1,34,0.029411765,2019,
124,191,35,37,0.945945946,2018,
124,192,34,36,0.944444444,2018,
142,147,0,33,0,2018,
142,156,0,48,0,2019,
142,159,1,34,0.029411765,2018,
143,156,17,35,0.485714286,2018,
143,159,31,35,0.885714286,2018,
146,95,0,47,0,2018,
146,97,0,37,0,2018,
146,103,1,40,0.025,2019,
146,109,1,40,0.025,2019,
146,147,0,43,0,2018,
147,97,3,26,0.115384615,2018,
147,142,0,40,0,2019,
147,146,2,37,0.054054054,2018,
156,142,0,43,0,2018,
156,143,1,36,0.027777778,2019,
156,159,0,39,0,2019,
159,142,1,47,0.021276596,2019,
159,143,40,41,0.975609756,2019,
159,156,35,40,0.875,2018,
159,165,0,28,0,2018,
162,163,5,47,0.106382979,2019,
162,164,0,37,0,2018,
163,162,21,24,0.875,2018,
163,164,2,35,0.057142857,2019,
163,194,24,30,0.8,2018,
164,162,5,32,0.15625,2018,
164,163,19,46,0.413043478,2018,
164,165,19,36,0.527777778,2018,
165,159,0,43,0,2018,
165,163,43,48,0.895833333,2018,
165,164,35,39,0.897435897,2018,
168,177,30,36,0.833333333,2018,
168,190,20,27,0.740740741,2018,
168,194,33,35,0.942857143,2018,
169,177,41,41,1,2018,
169,194,24,36,0.666666667,2018,
177,168,2,34,0.058823529,2018,
177,169,0,32,0,2019,
177,194,0,33,0,2018,
190,124,0,30,0,2018,
190,124,1,42,0.023809524,2019,
190,168,35,48,0.729166667,2018,
190,191,2,80,0.025,2019,C
190,192,28,34,0.823529412,2018,
191,2,1,52,0.019230769,2018,
191,124,7,48,0.145833333,2018,
191,190,40,102,0.392156863,2019,C
191,192,33,54,0.611111111,2018,
192,2,0,43,0,2019,
192,27,32,45,0.711111111,2019,
192,124,46,52,0.884615385,2018,
192,190,37,44,0.840909091,2018,
192,191,4,36,0.111111111,2018,
192,194,45,51,0.882352941,2019,(might actually have 190 in it?)
194,163,33,38,0.868421053,2018,
194,168,43,49,0.87755102,2018,
194,169,36,52,0.692307692,2018,
194,177,0,55,0,2019,
194,192,39,48,0.8125,2019,
